Data;EMBI + Risco-Brasil
29/04/1994;1120
02/05/1994;1131
03/05/1994;1081
04/05/1994;1083
05/05/1994;1105
06/05/1994;1151
09/05/1994;1179
10/05/1994;1193
11/05/1994;1185
12/05/1994;1167
13/05/1994;1200
16/05/1994;1251
17/05/1994;1277
18/05/1994;1256
19/05/1994;1173
20/05/1994;1173
23/05/1994;1105
24/05/1994;1080
25/05/1994;1061
26/05/1994;1072
27/05/1994;1070
31/05/1994;1079
01/06/1994;1103
02/06/1994;1123
03/06/1994;1103
06/06/1994;1087
07/06/1994;1047
08/06/1994;1024
09/06/1994;1045
10/06/1994;1028
13/06/1994;1055
14/06/1994;1069
15/06/1994;1077
16/06/1994;1102
17/06/1994;1101
20/06/1994;1126
21/06/1994;1142
22/06/1994;1126
23/06/1994;1129
24/06/1994;1158
27/06/1994;1173
28/06/1994;1177
29/06/1994;1161
30/06/1994;1183
01/07/1994;1179
05/07/1994;1169
06/07/1994;1168
07/07/1994;1135
08/07/1994;1121
11/07/1994;1114
12/07/1994;1102
13/07/1994;1100
14/07/1994;1076
15/07/1994;1074
18/07/1994;1084
19/07/1994;1099
20/07/1994;1106
21/07/1994;1118
22/07/1994;1106
25/07/1994;1117
26/07/1994;1116
27/07/1994;1110
28/07/1994;1096
29/07/1994;1096
01/08/1994;1092
02/08/1994;1070
03/08/1994;1047
04/08/1994;1038
05/08/1994;1020
08/08/1994;972
09/08/1994;971
10/08/1994;948
11/08/1994;933
12/08/1994;922
15/08/1994;875
16/08/1994;867
17/08/1994;882
18/08/1994;900
19/08/1994;877
22/08/1994;818
23/08/1994;811
24/08/1994;819
25/08/1994;848
26/08/1994;850
29/08/1994;866
30/08/1994;830
31/08/1994;813
01/09/1994;825
02/09/1994;835
06/09/1994;878
07/09/1994;856
08/09/1994;835
09/09/1994;829
12/09/1994;840
13/09/1994;813
14/09/1994;805
15/09/1994;820
16/09/1994;815
19/09/1994;824
20/09/1994;824
21/09/1994;824
22/09/1994;795
23/09/1994;766
26/09/1994;777
27/09/1994;772
28/09/1994;762
29/09/1994;755
30/09/1994;739
03/10/1994;724
04/10/1994;724
05/10/1994;732
06/10/1994;745
07/10/1994;752
11/10/1994;756
12/10/1994;759
13/10/1994;751
14/10/1994;758
17/10/1994;767
18/10/1994;774
19/10/1994;785
20/10/1994;777
21/10/1994;777
24/10/1994;791
25/10/1994;819
26/10/1994;822
27/10/1994;859
28/10/1994;839
31/10/1994;852
01/11/1994;868
02/11/1994;905
03/11/1994;913
04/11/1994;900
07/11/1994;899
08/11/1994;874
09/11/1994;852
10/11/1994;849
14/11/1994;826
15/11/1994;807
16/11/1994;818
17/11/1994;846
18/11/1994;852
21/11/1994;886
22/11/1994;871
23/11/1994;867
25/11/1994;869
28/11/1994;859
29/11/1994;839
30/11/1994;817
01/12/1994;814
